raw,assoc,count,probability
125,375,1910016,1.825957463321805144e-04
126,378,1601784,1.531290549099826519e-04
127,381,1363473,1.303467458067247430e-04
128,384,1147356,1.096861623822550826e-04
129,387,971835,9.290651865572574313e-05
130,390,807288,7.717597908342828340e-05
131,393,677721,6.478949485239479851e-05
132,396,566616,5.416796058449499480e-05
133,399,473250,4.524225815475076183e-05
134,402,398100,3.805798831781569396e-05
135,405,334035,3.193343413147844078e-05
136,408,272040,2.600677001250585637e-05
137,411,232596,2.223596043901195456e-05
138,414,190764,1.823686029505097646e-05
139,417,158112,1.511535958027248252e-05
140,420,128508,1.228524481975850083e-05
141,423,108372,1.036026201953861482e-05
142,426,84948,8.120949489127877294e-06
143,429,72480,6.929020329754538232e-06
144,432,58632,5.605164458804747115e-06
145,435,48387,4.625752023949128329e-06
146,438,37236,3.559726834971578260e-06
147,441,32109,3.069590421745149804e-06
148,444,23580,2.254225984762858810e-06
149,447,20133,1.924696003020807340e-06
150,450,14640,1.399570331506711376e-06
151,453,13089,1.251296179582742148e-06
152,456,9924,9.487251345541395717e-07
153,459,9141,8.738710655944569087e-07
154,462,6936,6.630751242712124586e-07
155,465,6528,6.240707051964352178e-07
156,468,4596,4.393733089894020120e-07
157,471,4425,4.230258686418851043e-07
158,474,3252,3.108881638019006561e-07
159,477,2832,2.707365559308064625e-07
160,480,2004,1.915805289849350811e-07
161,483,1680,1.606064314843767214e-07
162,486,1284,1.227492012059164862e-07
163,489,945,9.034111770996189583e-08
164,492,900,8.603915972377324358e-08
165,495,852,8.145040453850533990e-08
166,498,588,5.621225101953184983e-08
167,501,426,4.072520226925266995e-08
168,504,144,1.376626555580371765e-08
169,507,270,2.581174791713197307e-08
170,510,156,1.491345435212069357e-08
171,513,305,2.915771523972315256e-08
172,516,132,1.261907675948674173e-08
173,519,210,2.007580393554709017e-08
174,522,84,8.030321574218836398e-09
175,525,210,2.007580393554709017e-08
176,528,36,3.441566388950929412e-09
177,531,111,1.061149636593203304e-08
178,534,36,3.441566388950929412e-09
179,537,51,4.875552384347150139e-09
180,540,12,1.147188796316976540e-09
181,543,36,3.441566388950929412e-09
183,549,84,8.030321574218836398e-09
185,555,18,1.720783194475464706e-09
187,561,21,2.007580393554709100e-09
189,567,7,6.691934645182363321e-10
193,579,12,1.147188796316976540e-09
199,597,6,5.735943981584882699e-10
