utc,node_index,expected_answer,rerun_answer,seconds,fixed_signature,reason,mismatch
2026-05-02T20:40:36+00:00,4931,unsat,unsat,0.002,"12=2,13=1,14=2,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:36+00:00,4932,unsat,unsat,0.002,"12=0,13=2,14=2,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:36+00:00,4933,unsat,unsat,0.002,"12=1,13=2,14=2,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:36+00:00,4934,unsat,unsat,0.002,"12=2,13=2,14=2,15=2,16=0,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:36+00:00,4935,unsat,unsat,0.532,"12=0,13=0,14=0,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:36+00:00,4936,unsat,unsat,0.311,"12=1,13=0,14=0,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:37+00:00,4937,unsat,unsat,0.179,"12=2,13=0,14=0,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:38+00:00,4938,unsat,unsat,1.003,"12=0,13=1,14=0,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:38+00:00,4939,unsat,unsat,0.577,"12=1,13=1,14=0,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:39+00:00,4940,unsat,unsat,1.294,"12=2,13=1,14=0,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:41+00:00,4941,unsat,unsat,1.082,"12=0,13=2,14=0,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:41+00:00,4942,unsat,unsat,0.418,"12=1,13=2,14=0,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:41+00:00,4943,unsat,unsat,0.352,"12=2,13=2,14=0,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:43+00:00,4944,unsat,unsat,1.468,"12=0,13=0,14=1,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:43+00:00,4945,unsat,unsat,0.492,"12=1,13=0,14=1,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:44+00:00,4946,unsat,unsat,0.363,"12=2,13=0,14=1,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:44+00:00,4947,unsat,unsat,0.184,"12=0,13=1,14=1,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:45+00:00,4948,unsat,unsat,1.051,"12=1,13=1,14=1,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:45+00:00,4949,unsat,unsat,0.042,"12=2,13=1,14=1,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:46+00:00,4950,unsat,unsat,1.323,"12=0,13=2,14=1,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:46+00:00,4951,unsat,unsat,0.031,"12=1,13=2,14=1,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:47+00:00,4952,unsat,unsat,0.437,"12=2,13=2,14=1,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:49+00:00,4953,unsat,unsat,2.187,"12=0,13=0,14=2,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:50+00:00,4954,unsat,unsat,1.017,"12=1,13=0,14=2,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:51+00:00,4955,unsat,unsat,1.217,"12=2,13=0,14=2,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:55+00:00,4956,unsat,unsat,3.77,"12=0,13=1,14=2,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:56+00:00,4957,unsat,unsat,1.009,"12=1,13=1,14=2,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:57+00:00,4958,unsat,unsat,0.949,"12=2,13=1,14=2,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:59+00:00,4959,unsat,unsat,2.385,"12=0,13=2,14=2,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:40:59+00:00,4960,unsat,unsat,0.064,"12=1,13=2,14=2,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:01+00:00,4961,unsat,unsat,1.272,"12=2,13=2,14=2,15=0,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:01+00:00,4962,unsat,unsat,0.131,"12=0,13=0,14=0,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:01+00:00,4963,unsat,unsat,0.343,"12=1,13=0,14=0,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:01+00:00,4964,unsat,unsat,0.241,"12=2,13=0,14=0,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:02+00:00,4965,unsat,unsat,0.431,"12=0,13=1,14=0,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:04+00:00,4966,unsat,unsat,1.838,"12=1,13=1,14=0,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:05+00:00,4967,unsat,unsat,1.15,"12=2,13=1,14=0,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:05+00:00,4968,unsat,unsat,0.462,"12=0,13=2,14=0,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:06+00:00,4969,unsat,unsat,0.842,"12=1,13=2,14=0,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:07+00:00,4970,unsat,unsat,0.542,"12=2,13=2,14=0,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:07+00:00,4971,unsat,unsat,0.401,"12=0,13=0,14=1,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:07+00:00,4972,unsat,unsat,0.457,"12=1,13=0,14=1,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:08+00:00,4973,unsat,unsat,0.294,"12=2,13=0,14=1,15=1,16=1,17=2,18=0,19=2,20=0",,0
