a,b,label,d,x21,Assoc,I_tot,B_tot,H_tot,H_pos,H_neg_abs,N_neg,h_loc_min,h_loc_max,pure,above_PAB_7020,ge_PAB_7020,is_PAB,is_row_complement_d000,pure_H_frontier
1,2,g1=r2 / PAB,021,111111111222222222021,189,8592,2976,5616,5616,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,022,111111111222222222022,255,7938,2700,5238,5238,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,100,111111111222222222100,195,9150,1848,7302,7308,6,3,-2,18,False,True,True,False,False,False
1,2,g1=r2 / PAB,101,111111111222222222101,195,8880,2280,6600,6600,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,102,111111111222222222102,243,8322,2220,6102,6102,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,110,111111111222222222110,255,8238,2040,6198,6198,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,111,111111111222222222111,273,7824,2424,5400,5400,0,0,0,16,True,False,False,False,False,False
1,2,g1=r2 / PAB,112,111111111222222222112,309,7398,2376,5022,5022,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,120,111111111222222222120,189,8874,2160,6714,6714,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,121,111111111222222222121,195,8610,2820,5790,5790,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,122,111111111222222222122,255,7968,2580,5388,5388,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,200,111111111222222222200,195,9150,1848,7302,7308,6,3,-2,18,False,True,True,False,False,False
1,2,g1=r2 / PAB,201,111111111222222222201,189,8874,2160,6714,6714,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,202,111111111222222222202,255,8238,2040,6198,6198,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,210,111111111222222222210,243,8322,2220,6102,6102,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,211,111111111222222222211,255,7968,2580,5388,5388,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,212,111111111222222222212,309,7398,2376,5022,5022,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,220,111111111222222222220,195,8880,2280,6600,6600,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,221,111111111222222222221,195,8610,2820,5790,5790,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,222,111111111222222222222,273,7824,2424,5400,5400,0,0,0,16,True,False,False,False,False,False
2,0,,000,222222222000000000000,273,7824,2424,5400,5400,0,0,0,16,True,False,False,False,False,False
2,0,,001,222222222000000000001,255,8238,2040,6198,6198,0,0,0,18,True,False,False,False,False,False
2,0,,002,222222222000000000002,309,7398,2376,5022,5022,0,0,0,18,True,False,False,False,False,False
2,0,,010,222222222000000000010,255,7938,2700,5238,5238,0,0,0,18,True,False,False,False,False,False
2,0,,011,222222222000000000011,255,8208,2268,5940,5940,0,0,0,18,True,False,False,False,False,False
2,0,,012,222222222000000000012,297,7452,2592,4860,4860,0,0,0,18,True,False,False,False,False,False
2,0,,020,222222222000000000020,255,7968,2580,5388,5388,0,0,0,18,True,False,False,False,False,False
2,0,,021,222222222000000000021,243,8322,2220,6102,6102,0,0,0,18,True,False,False,False,False,False
2,0,,022,222222222000000000022,309,7398,2376,5022,5022,0,0,0,18,True,False,False,False,False,False
2,0,,100,222222222000000000100,195,8880,2280,6600,6600,0,0,0,18,True,False,False,False,False,False
2,0,,101,222222222000000000101,195,9150,1848,7302,7308,6,3,-2,18,False,True,True,False,False,False
2,0,,102,222222222000000000102,243,8322,2220,6102,6102,0,0,0,18,True,False,False,False,False,False
2,0,,110,222222222000000000110,201,8778,2364,6414,6414,0,0,0,16,True,False,False,False,False,False
2,0,,111,222222222000000000111,219,8904,1884,7020,7020,0,0,0,16,True,False,True,False,False,True
2,0,,112,222222222000000000112,255,8208,2268,5940,5940,0,0,0,18,True,False,False,False,False,False
2,0,,120,222222222000000000120,189,8874,2160,6714,6714,0,0,0,18,True,False,False,False,False,False
2,0,,121,222222222000000000121,195,9150,1848,7302,7308,6,3,-2,18,False,True,True,False,False,False
2,0,,122,222222222000000000122,255,8238,2040,6198,6198,0,0,0,18,True,False,False,False,False,False
2,0,,200,222222222000000000200,195,8610,2820,5790,5790,0,0,0,18,True,False,False,False,False,False
2,0,,201,222222222000000000201,189,8874,2160,6714,6714,0,0,0,18,True,False,False,False,False,False
2,0,,202,222222222000000000202,255,7968,2580,5388,5388,0,0,0,18,True,False,False,False,False,False
2,0,,210,222222222000000000210,189,8592,2976,5616,5616,0,0,0,18,True,False,False,False,False,False
2,0,,211,222222222000000000211,201,8778,2364,6414,6414,0,0,0,16,True,False,False,False,False,False
2,0,,212,222222222000000000212,255,7938,2700,5238,5238,0,0,0,18,True,False,False,False,False,False
2,0,,220,222222222000000000220,195,8610,2820,5790,5790,0,0,0,18,True,False,False,False,False,False
2,0,,221,222222222000000000221,195,8880,2280,6600,6600,0,0,0,18,True,False,False,False,False,False
2,0,,222,222222222000000000222,273,7824,2424,5400,5400,0,0,0,16,True,False,False,False,False,False
2,1,row-complement,000,222222222111111111000,219,8904,1884,7020,7020,0,0,0,16,True,False,True,False,True,True
2,1,row-complement,001,222222222111111111001,201,8778,2364,6414,6414,0,0,0,16,True,False,False,False,False,False
2,1,row-complement,002,222222222111111111002,255,8208,2268,5940,5940,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,010,222222222111111111010,255,8208,2268,5940,5940,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,011,222222222111111111011,255,7938,2700,5238,5238,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,012,222222222111111111012,297,7452,2592,4860,4860,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,020,222222222111111111020,201,8778,2364,6414,6414,0,0,0,16,True,False,False,False,False,False
2,1,row-complement,021,222222222111111111021,189,8592,2976,5616,5616,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,022,222222222111111111022,255,7938,2700,5238,5238,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,100,222222222111111111100,195,9150,1848,7302,7308,6,3,-2,18,False,True,True,False,False,False
2,1,row-complement,101,222222222111111111101,195,8880,2280,6600,6600,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,102,222222222111111111102,243,8322,2220,6102,6102,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,110,222222222111111111110,255,8238,2040,6198,6198,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,111,222222222111111111111,273,7824,2424,5400,5400,0,0,0,16,True,False,False,False,False,False
2,1,row-complement,112,222222222111111111112,309,7398,2376,5022,5022,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,120,222222222111111111120,189,8874,2160,6714,6714,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,121,222222222111111111121,195,8610,2820,5790,5790,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,122,222222222111111111122,255,7968,2580,5388,5388,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,200,222222222111111111200,195,9150,1848,7302,7308,6,3,-2,18,False,True,True,False,False,False
2,1,row-complement,201,222222222111111111201,189,8874,2160,6714,6714,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,202,222222222111111111202,255,8238,2040,6198,6198,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,210,222222222111111111210,243,8322,2220,6102,6102,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,211,222222222111111111211,255,7968,2580,5388,5388,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,212,222222222111111111212,309,7398,2376,5022,5022,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,220,222222222111111111220,195,8880,2280,6600,6600,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,221,222222222111111111221,195,8610,2820,5790,5790,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,222,222222222111111111222,273,7824,2424,5400,5400,0,0,0,16,True,False,False,False,False,False
2,2,,000,222222222222222222000,381,6312,1560,4752,4752,0,0,0,16,True,False,False,False,False,False
2,2,,001,222222222222222222001,363,6456,1500,4956,4986,30,9,-4,18,False,False,False,False,False,False
2,2,,002,222222222222222222002,471,3618,1296,2322,2430,108,54,-2,18,False,False,False,False,False,False
2,2,,010,222222222222222222010,363,6318,1944,4374,4398,24,6,-4,18,False,False,False,False,False,False
2,2,,011,222222222222222222011,363,6318,1944,4374,4398,24,6,-4,18,False,False,False,False,False,False
2,2,,012,222222222222222222012,459,3564,1620,1944,2160,216,108,-2,18,False,False,False,False,False,False
2,2,,020,222222222222222222020,363,6240,1932,4308,4320,12,6,-2,18,False,False,False,False,False,False
2,2,,021,222222222222222222021,351,6324,2004,4320,4344,24,9,-4,18,False,False,False,False,False,False
2,2,,022,222222222222222222022,471,3402,1512,1890,2214,324,108,-4,18,False,False,False,False,False,False
2,2,,100,222222222222222222100,357,6666,1308,5358,5364,6,3,-2,18,False,False,False,False,False,False
2,2,,101,222222222222222222101,357,6666,1308,5358,5364,6,3,-2,18,False,False,False,False,False,False
2,2,,102,222222222222222222102,459,3840,1140,2700,2700,0,0,0,18,True,False,False,False,False,False
2,2,,110,222222222222222222110,363,6456,1500,4956,4986,30,9,-4,18,False,False,False,False,False,False
2,2,,111,222222222222222222111,381,6312,1560,4752,4752,0,0,0,16,True,False,False,False,False,False
2,2,,112,222222222222222222112,471,3618,1296,2322,2430,108,54,-2,18,False,False,False,False,False,False
2,2,,120,222222222222222222120,351,6444,1512,4932,4938,6,3,-2,18,False,False,False,False,False,False
2,2,,121,222222222222222222121,357,6450,1740,4710,4716,6,3,-2,18,False,False,False,False,False,False
2,2,,122,222222222222222222122,471,3540,1284,2256,2472,216,108,-2,18,False,False,False,False,False,False
2,2,,200,222222222222222222200,357,6450,1740,4710,4716,6,3,-2,18,False,False,False,False,False,False
2,2,,201,222222222222222222201,351,6444,1512,4932,4938,6,3,-2,18,False,False,False,False,False,False
2,2,,202,222222222222222222202,471,3540,1284,2256,2472,216,108,-2,18,False,False,False,False,False,False
2,2,,210,222222222222222222210,351,6324,2004,4320,4344,24,9,-4,18,False,False,False,False,False,False
2,2,,211,222222222222222222211,363,6240,1932,4308,4320,12,6,-2,18,False,False,False,False,False,False
2,2,,212,222222222222222222212,471,3402,1512,1890,2214,324,108,-4,18,False,False,False,False,False,False
2,2,,220,222222222222222222220,357,6234,1956,4278,4302,24,12,-2,18,False,False,False,False,False,False
2,2,,221,222222222222222222221,357,6234,1956,4278,4302,24,12,-2,18,False,False,False,False,False,False
2,2,,222,222222222222222222222,489,3180,1344,1836,2268,432,108,-4,16,False,False,False,False,False,False
