center,radius,H_tot,count
affine_Hmin_assoc189_representative,2,-936,2
affine_Hmin_assoc189_representative,2,-930,4
affine_Hmin_assoc189_representative,2,-924,6
affine_Hmin_assoc189_representative,2,-918,2
affine_Hmin_assoc189_representative,2,-912,2
affine_Hmin_assoc189_representative,2,-906,2
affine_Hmin_assoc189_representative,2,-900,2
affine_Hmin_assoc189_representative,2,-894,6
affine_Hmin_assoc189_representative,2,-888,2
affine_Hmin_assoc189_representative,2,-882,4
affine_Hmin_assoc189_representative,2,-876,2
affine_Hmin_assoc189_representative,2,-870,4
affine_Hmin_assoc189_representative,2,-864,1
affine_Hmin_assoc189_representative,2,-858,4
affine_Hmin_assoc189_representative,2,-846,6
affine_Hmin_assoc189_representative,2,-840,1
affine_Hmin_assoc189_representative,2,-834,4
affine_Hmin_assoc189_representative,2,-828,2
affine_Hmin_assoc189_representative,2,-822,4
affine_Hmin_assoc189_representative,2,-816,2
affine_Hmin_assoc189_representative,2,-810,4
affine_Hmin_assoc189_representative,2,-798,8
affine_Hmin_assoc189_representative,2,-792,4
affine_Hmin_assoc189_representative,2,-786,12
affine_Hmin_assoc189_representative,2,-780,4
affine_Hmin_assoc189_representative,2,-774,2
affine_Hmin_assoc189_representative,2,-768,8
affine_Hmin_assoc189_representative,2,-762,6
affine_Hmin_assoc189_representative,2,-756,2
affine_Hmin_assoc189_representative,2,-750,4
affine_Hmin_assoc189_representative,2,-744,8
affine_Hmin_assoc189_representative,2,-738,4
affine_Hmin_assoc189_representative,2,-732,2
affine_Hmin_assoc189_representative,2,-720,2
affine_Hmin_assoc189_representative,2,-714,8
affine_Hmin_assoc189_representative,2,-708,2
affine_Hmin_assoc189_representative,2,-702,8
affine_Hmin_assoc189_representative,2,-696,10
affine_Hmin_assoc189_representative,2,-690,2
affine_Hmin_assoc189_representative,2,-684,5
affine_Hmin_assoc189_representative,2,-678,4
affine_Hmin_assoc189_representative,2,-672,4
affine_Hmin_assoc189_representative,2,-666,2
