stratum,A_param,B_param,d,x21,Assoc,rawI,rawB,rawH,I_tot,B_tot,H_tot,H_pos,H_neg_abs,N_neg,h_loc_min,h_loc_max,H_RRR,H_RRS,H_RSR,H_SRR,H_DIST
affine,122,120,221,210021102021102210221,285,1431,1194,237,8586,7164,1422,2784,1362,297,-12,16,354,648,276,252,-108
affine,122,121,221,210021102102210021221,267,1506,1236,270,9036,7416,1620,3246,1626,345,-12,16,354,648,78,162,378
affine,122,122,221,210021102210021102221,303,1491,1158,333,8946,6948,1998,3720,1722,282,-14,18,354,666,312,288,378
affine,122,200,221,210021102000222111221,231,1628,1365,263,9768,8190,1578,3036,1458,255,-12,16,426,396,414,126,216
affine,122,201,221,210021102111000222221,267,1559,1221,338,9354,7326,2028,3342,1314,270,-12,16,318,792,360,342,216
affine,122,202,221,210021102222111000221,249,1607,1296,311,9642,7776,1866,3126,1260,249,-12,16,372,666,378,234,216
affine,122,210,221,210021102012201120221,276,1476,1220,256,8856,7320,1536,3456,1920,351,-14,18,372,606,150,246,162
affine,122,211,221,210021102120012201221,276,1491,1220,271,8946,7320,1626,3342,1716,333,-12,16,372,588,150,246,270
affine,122,212,221,210021102201120012221,276,1485,1226,259,8910,7356,1554,3480,1926,351,-12,18,372,606,150,210,216
affine,122,220,221,210021102021210102221,276,1500,1236,264,9000,7416,1584,3552,1968,357,-14,18,372,582,192,222,216
affine,122,221,221,210021102102021210221,276,1506,1200,306,9036,7200,1836,3474,1638,321,-12,18,372,618,246,222,378
affine,122,222,221,210021102210102021221,276,1464,1212,252,8784,7272,1512,3402,1890,345,-12,18,372,600,228,258,54
affine,200,000,221,000222111000000000221,267,1426,776,650,8556,4656,3900,3936,36,18,-2,18,714,1062,1314,324,486
affine,200,001,221,000222111111111111221,186,1588,983,605,9528,5898,3630,3882,252,81,-6,18,714,468,1206,324,918
