id,minimal_size,representative,function_signature_base9_on_M2,sha256_signature
97,7,((((x*x)*y)*y)*(x*(y*x))),021000000011000000022000000444343444444543444444545444888888668888888778888888768,2105c7fd81acb2c956001f142d6deb0936c04b76827ff5ded57a5d2446bb66cd
98,6,(((x*y)*y)*(x*(y*x))),021000000200000000100000000444454444444543444444434444888888887888888886888888768,5c25b4406cb0413abb987b83739f3bce61fb57bcc81279b2bacec3738bd0248c
99,4,(((y*y)*y)*x),012333666200333666100333666111454777111345777111434777222555887222555886222555678,bb9885e8040d09859ed94113386443b4119d03d93d2ed70beb2c4a4e12dc0e6d
100,6,((y*(x*x))*(y*(x*y))),012444888200444888100444888000454888000345888000434888000444887000444886000444678,2e528958729b98d5688eeb035c7b43adec22de1f9fffc22cbe05c55049713576
101,6,(((y*x)*y)*(y*(x*x))),012545778200545778100545778022454668022345668022434668011343887011343886011343678,9ca532d99c15223f9ed8af9e7bbf66764105e909db37e56312550c1462a81ebe
102,7,((((y*x)*x)*y)*((y*x)*y)),000444888212444888112444888000355888000444888000335888000444677000444676000444888,d1cd61cae1a852fb10c23b57503e8b9bc5da74ac34efa4b2cfbf071cc834da75
103,6,((((y*y)*x)*y)*(y*x)),000545778000545778000545778022444668022444668022444668011343888011343888011343888,f3ae6b2bceb318417472c40c742bc7d7de8b9f6d636f01001a56b99683f6bc6f
104,6,(((y*y)*y)*(y*(x*y))),012454887200454887100454887200454886200345886200434886100434887100434886100434678,2b83c5f26998ad05ddcfdc7b7b0b779cf020d02ad8dba55593af82f74dccb5a4
105,7,((((y*y)*y)*x)*((x*y)*y)),021333666012333666012333666111345777111543777111345777222555678222555678222555768,99e0ac2235c955edd06050a764c6e5bf685de3b291a3a000c9b82b5d831fb14a
106,6,(((y*x)*x)*(y*(x*y))),021444888200444888100444888000454888000543888000434888000444887000444886000444768,d2f1c5b077e1cbdcb087f9132286b2b107261f1cebddf85790948cc2eddb42af
107,7,((((y*y)*y)*x)*(y*(x*y))),021444888012444888012444888000345888000543888000345888000444678000444678000444768,dd6b9a9a409ed0c707d81836fc93fe4e0ec0141165e7d39810f09fcb95c8b8c8
108,6,(((y*x)*y)*((y*y)*y)),012335676200335676100335676112454677112345677112434677212355887212355886212355678,d76acad195c653ed212a3c09842f171a18ea9fc2ba8eff8538a9cd33f26a8734
109,6,(((y*x)*x)*((y*x)*y)),021545778200545778100545778022454668022543668022434668011343887011343886011343768,cc164440486d04098d7cc763abac4d0206f2b6f3b7200d39085007b918692edc
110,7,((((y*y)*y)*x)*((y*x)*y)),021545778012545778012545778022345668022543668022345668011343678011343678011343768,17556122fa4a5b92c801b759df39afda2bd754261c034b194fe9c29a9a38c684
111,7,((((y*x)*x)*y)*(y*(x*y))),000545778212545778112545778022355668022444668022335668011343677011343676011343888,281334480a255a05ea089d31c1109bce35ded8a23a1d6bd49a35e7748e057360
112,7,(((y*x)*(y*y))*((y*x)*y)),021343668012343668012343668011345778011543778011345778022545678022545678022545768,6c97a7b89407445808382940b53309b9427c265c207ae1908897503ac1e443f0
113,7,(((y*x)*(x*x))*((y*y)*y)),000454887212454887112454887200355886200444886200335886100434677100434676100434888,7f5883103a81887da62fe558c91acb6c0183201852715ea106aa888b26c8cad0
114,7,((((y*x)*y)*x)*((y*y)*y)),012454887012454887012454887200345886200345886200345886100434678100434678100434678,5623d0a2218ff238e81a211e40f3b2bec4dda9cd62b51da90c7ab494fc906250
115,6,(((y*y)*x)*((y*y)*y)),012454887100454887200454887200434886200345886200454886100434886100434887100434678,4138dc88db3663e41d19c1ff9a16f6d8dd589d5e1ce6858d2100f639823b66af
116,7,((((x*x)*x)*y)*((x*x)*y)),000000000212000000112000000444355444444444444444335444888888677888888676888888888,5a718831625cf19dfe004021aa2d565b59101299c4a833c550b2ab4240e60439
117,6,(((x*x)*y)*((x*y)*y)),012000000200000000100000000444454444444345444444434444888888887888888886888888678,3cf2e8b5b9725f075890dddca1d0f16779387831e1551166015edd55d6640dac
118,5,((((x*x)*x)*y)*y),000111222221111222121111222333553555333444555333533555666777767666777766666777888,be3545191c1fc5eacabaeaec8ee36f9b0236f803d6911c563426a48a1f48030b
119,7,((((x*x)*y)*x)*((y*x)*y)),021111222012111222012111222333345555333543555333345555666777678666777678666777768,4f626e6d99edb452be87ca13a33af687a14e2531b674139c0b66c2d1c63fcd8a
