mode,d,x21,sample_index,A,B,canonical_x21,tau_x21,tau_fixed,d_class,raw,assoc,raw_blocks,assoc_blocks
min,200,021021021002002102200,0,021021021,002002102,010210010021021021100,010210010021021021100,False,two-valued_no_fixed,21,63,RRR:11;RRS:2;RSR:2;RSS:2;RST:4,RRR:33;RRS:6;RSR:6;RSS:6;RST:12
min,201,020020021102102102201,1,020020021,102102102,020020021102102102201,210210210001021001120,False,permutation,21,63,RRR:9;RRS:2;RSR:2;RSS:4;RST:4,RRR:27;RRS:6;RSR:6;RSS:12;RST:12
min,201,021021021002002102201,0,021021021,002002102,010210010021021021120,010210010021021021120,False,permutation,21,63,RRR:9;RRS:2;RSR:2;RSS:4;RST:4,RRR:27;RRS:6;RSR:6;RSS:12;RST:12
min,201,102102102212210212201,2,102102102,212210212,102102102212210212201,112112102210210210120,False,permutation,21,63,RRR:9;RRS:2;RSR:2;RSS:4;RST:4,RRR:27;RRS:6;RSR:6;RSS:12;RST:12
min,201,122102122210210210201,3,122102122,210210210,102102102211211210120,102102102211211210120,False,permutation,21,63,RRR:9;RRS:2;RSR:2;RSS:4;RST:4,RRR:27;RRS:6;RSR:6;RSS:12;RST:12
min,201,210110110021021021201,5,210110110,021021021,021021021102202202120,021021021102202202120,False,permutation,21,63,RRR:9;RRS:2;RSR:2;RSS:4;RST:4,RRR:27;RRS:6;RSR:6;RSS:12;RST:12
min,201,210210210021011011201,4,210210210,021011011,021022022102102102120,021022022102102102120,False,permutation,21,63,RRR:9;RRS:2;RSR:2;RSS:4;RST:4,RRR:27;RRS:6;RSR:6;RSS:12;RST:12
min,220,021021021102202202220,0,021021021,102202202,021021021102202202220,210110110021021021101,False,two-valued_no_fixed,21,63,RRR:11;RRS:2;RSR:2;RSS:2;RST:4,RRR:33;RRS:6;RSR:6;RSS:6;RST:12
min,220,021022022102102102220,1,021022022,102102102,021022022102102102220,210210210021011011101,False,two-valued_no_fixed,21,63,RRR:11;RRS:2;RSR:2;RSS:2;RST:4,RRR:33;RRS:6;RSR:6;RSS:6;RST:12
min,221,102102102212210212221,0,102102102,212210212,102102102212210212221,112112102210210210121,False,two-valued_no_fixed,21,63,RRR:11;RRS:2;RSR:2;RSS:2;RST:4,RRR:33;RRS:6;RSR:6;RSS:6;RST:12
min,221,122102122210210210221,1,122102122,210210210,102102102211211210121,102102102211211210121,False,two-valued_no_fixed,21,63,RRR:11;RRS:2;RSR:2;RSS:2;RST:4,RRR:33;RRS:6;RSR:6;RSS:6;RST:12
